"zcta5","ZIPName","County","County2","MedianAge","pctUnder18","pctOver65","pctWhite1","pctBlack1","pctAsian1","pctHispanicPop","MedianHHInc","MedianFamInc","PovUniverse","pctpoor","pctInCollege","pctBachelorsormore","pctForeignBorn","pctRenterOcc","MedianHValue","MedianGrossRent"
"64014","Blue Springs MO","Jackson MO","","34.2","27.2","9.0","91.0","3.5","2.0","3.0","66493","74390","25236","7.7","21.6","29.3","2.4","28.2","145000","877"
"64015","Blue Springs MO","Jackson MO","","37.7","26.8","10.7","89.5","5.0","0.9","3.9","68461","79071","30096","8.8","21.8","31.7","2.3","23.9","160700","794"
"64016","Buckner MO","Jackson MO","","34.3","26.7","12.4","95.7","0.4","0.2","4.4","63268","66820","4952","7.2","24.8","16.3","0.6","22.9","123500","757"
"64029","Grain Valley MO","Jackson MO","","32.3","30.3","5.7","89.5","3.7","0.4","8.1","66721","72993","15703","7.0","20.2","24.9","3.8","26.2","166300","888"
"64030","Grandview MO","Jackson MO","","32.7","25.9","11.1","55.9","35.3","0.4","10.2","43896","55240","24101","13.9","19.4","18.5","6.7","38.5","109300","687"
"64034","Greenwood MO","Jackson MO","Cass MO","36.5","30.9","9.3","94.2","1.9","1.0","2.6","80015","90205","7838","2.6","22.6","35.7","1.4","6.6","173100","856"
"64050","Independence MO","Jackson MO","","37.0","24.4","15.3","87.7","4.8","1.1","7.1","34624","47790","21328","21.8","27.1","12.7","3.5","43.9","87100","651"
"64052","Independence MO","Jackson MO","","41.4","22.0","15.8","78.8","8.1","1.0","11.9","37517","46763","19716","17.8","19.3","13.2","8.5","35.2","86200","676"
"64053","Independence MO","Jackson MO","","35.2","23.9","11.4","91.3","4.1","0.3","15.6","33243","34018","5345","25.7","10.4","5.6","4.8","44.2","67600","646"
"64054","Sugar Creek MO","Jackson MO","","38.5","19.3","14.6","88.6","6.8","0.0","3.3","33883","40682","3421","23.0","24.6","12.3","1.7","43.3","79200","663"
"64055","Independence MO","Jackson MO","","43.0","20.6","19.8","88.4","5.6","1.3","5.9","49386","60241","33782","9.1","26.9","20.9","4.0","27.3","120000","763"
"64056","Independence MO","Jackson MO","","32.1","32.4","11.0","82.0","7.9","1.2","6.7","50388","53441","16918","21.0","16.3","15.5","2.7","30.3","107500","782"
"64057","Independence MO","Jackson MO","","43.0","17.2","15.8","90.4","5.8","1.2","6.8","61783","85216","13288","8.3","29.6","28.0","3.9","36.9","150400","797"
"64058","Independence MO","Jackson MO","","39.8","24.6","12.8","92.2","2.3","0.3","3.2","62857","65196","6361","10.6","18.2","13.2","1.0","14.5","130700","925"
